Calibration_Linear,Calibration_ToF,Run1_Linear,Run1_ToF,Run2_Linear,Run2_ToF
860,-1,584,-1,657,-1
860,-1,584,-1,657,-1
860,-1,583,-1,657,-1
860,-1,583,-1,657,-1
860,-1,584,-1,657,-1
860,-1,584,-1,657,-1
860,-1,583,-1,657,-1
860,-1,584,-1,657,-1
860,-1,584,-1,657,-1
860,-1,584,-1,657,-1
860,-1,584,-1,657,-1
859,-1,583,-1,657,-1
859,-1,583,-1,657,-1
859,-1,583,-1,657,-1
859,-1,583,-1,657,-1
859,-1,583,-1,657,-1
860,-1,583,-1,657,-1
859,-1,583,-1,657,-1
860,-1,584,0,658,0
861,0,584,0,658,0
861,0,584,47,658,50
861,11,584,100,658,106
861,121,584,117,658,126
861,144,584,99,658,95
861,123,584,100,658,104
861,120,584,97,658,101
860,126,584,93,658,98
861,119,584,100,658,105
861,120,584,98,658,102
861,118,584,96,658,104
860,118,584,97,658,103
861,119,584,99,658,102
861,120,584,99,658,104
860,120,584,97,658,106
861,119,584,97,658,105
861,121,584,97,658,104
861,120,584,96,658,100
861,122,584,95,658,109
861,124,584,99,658,108
861,120,584,99,657,100
861,124,584,96,657,105
860,123,584,95,657,105
861,114,584,98,657,102
861,118,584,98,657,103
861,118,584,96,657,101
861,122,584,95,657,102
861,122,584,96,657,102
861,121,584,100,657,102
861,121,584,98,657,102
860,119,584,99,657,102
861,122,584,100,657,106
861,121,584,97,657,105
861,115,584,98,657,102
861,118,584,98,657,107
861,119,584,97,657,105
861,120,584,98,657,102
861,124,584,98,657,101
860,125,584,96,657,100
861,121,584,97,657,103
861,122,583,99,657,102
861,119,584,98,657,103
861,117,583,100,657,106
861,121,584,95,657,105
860,117,584,97,656,103
861,120,584,99,657,104
861,120,584,97,656,106
860,118,584,97,656,102
860,122,583,99,656,102
860,116,583,98,656,103
861,117,583,97,656,102
861,119,583,101,657,103
861,116,583,99,657,104
861,119,583,99,657,103
861,120,584,98,657,104
861,119,583,96,657,105
861,118,583,97,657,104
860,118,584,96,657,105
861,116,583,97,657,105
861,117,583,98,657,104
861,122,583,96,657,102
861,116,583,96,656,103
861,116,583,98,656,102
860,120,583,98,656,104
861,121,583,98,656,107
861,124,583,95,655,105
861,120,583,96,656,104
861,118,583,98,656,104
860,119,583,97,656,103
861,116,583,98,656,104
861,119,583,98,656,103
861,119,583,96,657,107
861,119,583,98,657,105
861,120,583,99,657,103
861,119,583,97,657,104
861,119,583,97,657,103
860,119,583,97,657,104
860,119,583,99,657,103
861,117,583,99,657,102
861,119,583,99,657,104
861,119,583,100,657,104
861,117,583,98,657,105
860,118,583,98,657,104
861,119,583,98,656,102
861,118,583,96,656,103
861,118,583,96,656,104
861,115,583,98,656,105
861,118,583,98,656,104
860,120,583,98,656,101
861,119,583,99,656,105
861,120,583,98,656,104
860,118,583,99,656,102
861,116,583,96,656,104
861,117,583,96,656,104
861,118,583,97,656,103
861,118,583,99,656,105
861,120,583,99,656,103
861,123,583,96,656,104
860,119,583,96,656,103
861,121,583,99,656,105
861,119,583,97,655,106
861,119,583,97,655,104
861,118,583,97,655,105
861,119,583,99,655,105
861,119,583,98,655,106
861,117,583,96,655,107
861,120,583,100,655,104
861,120,583,100,655,104
861,116,583,94,655,106
861,117,583,99,655,105
861,120,583,98,655,104
860,117,583,96,655,103
860,115,583,96,655,103
861,117,583,97,655,104
861,125,583,99,655,102
861,123,583,99,655,103
861,121,583,98,655,103
861,119,583,100,654,103
860,120,583,97,650,103
861,116,583,98,642,105
861,114,583,99,641,104
861,121,583,95,642,103
861,118,583,97,642,105
861,117,583,99,643,103
860,119,583,98,643,101
860,120,583,100,643,105
861,119,583,95,643,103
861,114,583,95,643,104
861,121,583,98,643,103
861,121,583,97,643,102
861,113,583,97,643,103
861,121,583,100,643,104
861,119,583,97,643,104
861,117,583,95,644,98
861,118,583,101,644,102
861,119,583,99,644,104
861,120,583,97,643,104
861,119,583,97,643,104
861,120,583,97,643,105
861,119,583,96,644,101
861,120,583,96,643,102
860,119,583,98,643,104
861,117,583,97,643,102
861,117,583,99,643,103
861,118,583,99,643,105
861,121,583,96,643,106
860,121,583,95,643,103
860,116,583,95,643,102
861,116,583,99,643,104
861,120,583,97,643,102
861,121,583,98,643,105
860,120,583,99,644,103
861,121,583,98,643,102
860,118,583,97,644,104
861,117,583,98,643,104
861,119,583,99,643,102
860,119,583,99,644,103
861,116,583,97,643,102
861,115,583,98,643,100
860,116,583,98,644,102
861,117,584,97,644,101
861,119,583,98,643,100
860,119,583,99,643,101
860,120,583,98,644,102
861,118,583,96,643,102
861,121,583,97,643,103
861,123,583,97,643,102
861,117,583,96,643,103
860,121,583,98,643,105
861,119,584,97,643,102
861,120,583,96,643,101
861,117,583,96,643,100
860,122,583,96,643,102
860,122,583,98,643,101
861,118,583,98,643,104
861,121,583,95,643,101
861,121,583,96,643,101
861,121,583,97,643,103
861,117,583,98,643,101
861,117,583,97,643,103
860,118,583,96,643,102
861,117,583,98,643,101
861,118,583,99,643,102
861,122,583,98,643,102
861,118,583,96,643,102
861,120,583,96,643,102
861,120,583,99,643,102
861,117,583,98,643,100
861,117,583,97,643,102
861,119,583,98,643,102
861,113,583,98,643,104
861,114,583,99,643,102
861,118,583,98,643,103
861,120,583,100,643,104
861,121,583,99,643,103
861,119,583,98,643,104
861,116,583,98,643,105
861,119,583,97,643,103
861,120,583,97,643,101
861,117,583,96,643,103
861,120,583,97,643,102
861,117,583,93,643,102
861,121,583,93,643,103
861,123,583,99,643,103
861,117,583,99,643,103
861,120,583,96,643,101
861,119,583,97,643,99
861,119,583,97,643,100
861,118,583,98,643,102
861,115,583,94,643,101
861,115,583,95,643,100
860,122,583,97,643,101
861,121,583,98,643,101
861,116,583,99,643,103
861,117,583,97,643,103
861,119,583,95,643,99
860,122,583,94,643,101
861,119,583,94,643,100
861,122,583,97,643,100
861,120,583,99,643,102
861,118,583,97,643,104
861,120,583,96,643,106
861,118,583,95,643,105
861,122,583,94,643,100
861,123,583,97,643,102
861,118,583,97,643,104
861,120,583,98,643,101
860,118,583,96,643,102
861,119,583,97,643,101
861,118,583,96,643,100
860,116,583,94,643,105
861,124,583,93,643,106
861,118,583,97,643,102
860,120,583,97,643,102
861,120,583,96,643,108
861,121,583,97,643,103
860,119,583,97,643,107
861,118,583,96,643,103
861,120,583,96,643,102
861,120,583,99,643,101
861,120,583,99,643,102
861,117,583,96,643,101
861,117,583,94,643,103
861,117,583,98,643,103
861,120,583,94,643,102
861,117,583,93,643,101
861,117,583,96,643,103
861,118,583,96,643,102
861,117,583,99,643,101
861,119,583,95,643,103
861,120,583,94,643,102
860,119,583,97,643,101
860,120,583,97,643,100
861,118,583,98,643,100
861,121,583,97,643,104
861,121,583,94,643,101
861,117,583,94,643,101
862,120,583,96,643,101
861,121,583,94,643,103
861,119,583,94,643,103
861,124,583,94,643,100
861,122,583,93,643,99
860,120,583,95,643,99
861,117,583,96,643,102
861,118,583,95,643,101
860,119,583,97,643,99
861,119,583,96,643,99
861,121,583,96,643,102
861,118,583,96,643,101
860,118,583,96,643,100
860,119,583,97,643,100
861,116,583,98,643,101
861,118,583,99,643,105
861,120,583,100,643,102
861,120,584,99,643,100
861,117,583,95,643,103
860,117,583,96,643,101
861,118,583,96,643,102
861,117,583,98,643,102
861,117,583,97,643,104
860,117,583,96,643,103
861,118,583,94,643,100
861,119,583,95,643,101
861,119,583,98,643,102
861,116,583,99,643,103
860,120,583,96,643,105
860,120,583,96,643,103
861,120,583,97,643,101
860,116,583,96,643,103
860,118,583,98,643,103
861,122,583,96,643,102
861,117,583,97,643,102
860,116,583,97,643,105
861,117,583,96,643,104
861,119,583,97,643,103
861,121,583,96,643,102
860,118,583,96,643,101
861,122,583,99,643,100
860,115,583,97,643,103
861,116,583,98,643,102
860,119,583,96,643,102
860,121,583,98,643,105
860,118,583,98,643,103
861,118,583,96,643,101
861,118,583,97,643,102
860,117,583,98,643,103
860,124,583,96,643,103
861,124,583,97,643,103
861,115,583,94,643,102
861,114,583,97,643,101
860,116,583,97,643,100
860,123,583,95,643,99
861,122,583,97,643,101
861,122,583,96,643,105
860,116,583,97,643,105
860,118,583,99,643,103
861,119,583,98,643,101
861,119,583,95,643,102
861,116,583,94,643,102
860,116,583,98,643,106
861,123,583,98,643,105
860,120,583,96,643,103
860,115,583,96,643,101
860,118,583,95,643,103
860,121,583,94,643,102
860,118,583,98,643,99
861,121,583,98,643,100
861,120,583,96,643,102
861,117,583,95,643,102
860,117,583,98,643,104
861,118,583,98,643,103
860,121,583,99,643,99
861,120,583,98,643,100
861,122,583,98,643,102
860,117,583,95,643,103
860,119,583,97,643,102
861,123,583,97,643,101
861,121,583,97,643,101
861,121,583,96,643,101
861,119,583,96,643,104
860,117,583,95,643,102
860,119,583,92,643,103
861,121,583,97,643,105
861,117,583,99,643,106
861,119,583,98,643,104
861,121,583,94,643,102
860,118,583,97,643,101
861,118,583,96,643,101
861,122,583,97,643,100
861,117,583,97,643,106
860,119,583,97,643,104
860,118,583,98,643,104
861,115,583,97,643,105
861,116,583,97,643,104
861,113,583,96,643,101
860,120,583,97,643,102
861,122,583,96,643,104
861,118,583,97,643,102
861,121,583,96,643,104
860,120,583,93,643,106
860,118,583,95,643,105
861,116,583,98,643,102
860,118,583,102,643,104
861,119,583,98,643,104
860,118,583,98,643,103
861,119,583,98,643,104
861,120,583,97,643,104
860,119,583,98,643,103
861,118,583,97,643,102
861,118,583,98,643,102
860,120,583,99,643,102
860,121,583,97,643,102
861,118,583,96,643,102
861,117,583,97,643,101
860,120,583,98,643,103
861,119,583,98,643,102
861,119,583,97,643,101
861,123,583,97,643,101
861,122,583,98,643,102
861,119,583,99,643,104
860,119,583,99,643,102
860,118,583,99,643,100
861,115,583,98,643,101
861,117,583,99,643,100
860,117,583,97,643,104
861,120,583,93,643,105
861,118,583,97,643,101
861,118,583,97,643,101
860,120,583,98,643,101
860,119,583,97,643,104
861,119,583,97,643,102
860,120,583,94,643,100
861,115,583,95,643,102
860,116,583,99,643,104
861,123,583,95,643,103
861,121,583,97,643,102
861,118,583,97,643,103
860,118,583,98,643,104
860,121,583,100,643,102
861,120,583,96,643,100
860,121,583,95,643,100
861,118,583,95,643,102
861,117,583,94,643,100
861,119,583,97,643,100
860,117,583,97,643,101
860,118,583,97,643,101
861,117,583,95,643,102
861,117,583,96,643,102
861,119,583,95,643,100
860,122,583,97,643,100
861,123,584,98,643,103
861,121,584,99,643,101
861,119,584,97,643,101
860,121,583,96,643,101
860,118,583,98,643,100
860,120,584,97,643,101
861,119,584,97,643,106
861,119,584,97,643,102
860,118,583,97,643,100
860,118,583,97,643,102
861,117,583,97,643,100
861,118,583,95,643,105
860,117,583,94,643,102
860,113,583,98,643,101
861,115,583,97,643,102
861,114,583,95,643,104
861,116,583,98,643,100
860,119,583,98,643,97
860,116,583,97,643,101
860,116,583,96,643,103
861,118,583,97,643,101
861,114,583,98,643,101
860,121,583,97,643,101
861,121,583,100,643,101
861,113,583,95,643,101
860,118,583,98,643,101
860,120,583,98,643,99
861,119,583,97,643,99
860,118,583,94,643,103
860,115,583,94,643,103
861,115,583,98,643,102
861,118,583,97,643,101
860,119,583,99,643,100
860,112,583,97,643,101
861,116,583,95,643,102
861,120,583,95,643,101
861,121,583,97,643,102
861,122,583,99,643,102
860,118,583,94,643,104
861,118,583,97,643,105
861,117,583,97,643,102
861,118,583,97,643,104
860,120,583,93,643,105
860,118,583,94,643,102
860,117,583,98,643,100
860,118,583,95,643,100
860,119,583,95,643,101
860,118,583,97,643,101
861,119,583,96,643,100
860,119,583,98,643,104
860,120,583,95,643,104
861,117,583,94,643,99
860,116,583,96,643,99
860,118,583,94,643,106
861,116,583,97,643,102
860,119,583,97,643,103
861,120,583,97,643,103
860,117,583,96,643,100
860,117,583,92,643,100
861,117,583,95,643,102
861,116,583,96,643,100
861,116,583,97,643,104
860,121,583,94,643,100
860,121,583,93,643,102
861,121,583,95,643,102
861,120,583,96,643,105
860,120,583,95,643,101
861,117,583,97,643,100
861,115,583,99,643,102
861,120,583,99,643,102
860,122,583,96,643,102
860,118,583,94,643,102
861,116,583,95,643,100
861,116,583,96,643,101
860,116,583,97,643,101
860,116,583,96,643,101
861,115,583,97,643,101
861,118,583,96,643,102
861,121,583,95,643,101
860,118,583,97,643,101
861,121,583,97,643,101
860,120,583,97,643,99
861,116,583,96,643,100
860,117,583,96,643,103
860,118,583,96,643,103
861,121,583,97,643,101
861,122,583,98,643,103
860,122,583,98,643,100
860,119,583,97,643,100
861,117,583,96,643,102
861,117,583,98,643,101
860,118,583,98,643,101
861,117,583,97,643,101
860,117,583,97,643,104
861,123,583,98,643,103
861,118,583,96,643,101
861,119,583,97,643,98
860,121,583,98,643,99
860,119,583,96,643,102
861,119,583,98,643,101
861,119,583,99,643,103
861,118,583,95,643,102
861,118,583,95,643,102
860,115,583,96,643,103
861,120,583,96,643,102
860,120,583,94,643,100
860,121,583,97,643,101
860,119,583,97,643,101
861,119,583,97,643,100
860,120,583,97,643,104
861,115,583,98,643,103
860,118,583,99,642,98
860,122,583,100,642,102
861,119,583,94,642,103
860,129,583,95,642,101
