Time,Speed,Long,Lat,Accelx,Accely,Accelz
1:04:33,21.39,152.9670715,-27.22591019,-1.43,-10.52,-11.95
1:04:35,28.82,152.9671783,-27.22598457,0.38,1.87,-13.66
1:04:36,36.8,152.9672699,-27.22603989,-0.23,-2.31,-8.94
1:04:37,46.61,152.9673309,-27.22612953,0.53,-1.3,-12.95
1:04:38,38.19,152.9673767,-27.22621918,-6.41,9.22,-7.22
1:04:39,31.6,152.9673615,-27.22629929,4.9,0,-8.8
1:04:40,34.74,152.9673157,-27.22636795,-5.65,6.77,-6.08
1:04:41,39.76,152.9672394,-27.2264328,-4.3,6.92,-10.8
1:04:42,36.04,152.9671326,-27.2264595,-8.52,6.92,-12.95
1:04:43,38.37,152.9670258,-27.22646713,-2.34,-7.64,-10.8
1:04:44,33.8,152.9669647,-27.22650337,1.28,9.94,-11.52
1:04:45,33.63,152.9668732,-27.22652817,-2.34,-3.6,-13.09
1:04:46,41.3,152.9667664,-27.22654915,-1.73,-1.15,-6.37
1:04:47,49.58,152.9666443,-27.22660255,8.97,-9.8,-8.08
1:04:48,41.47,152.9665527,-27.22667694,0.83,-10.09,-13.38
1:04:53,45.76,152.966095,-27.22694778,-2.94,-8.65,-10.94
1:04:54,49.69,152.9660187,-27.22695732,-1.43,-10.81,-15.52
1:04:55,44.34,152.9660034,-27.2270298,-3.69,10.81,-9.8
1:04:56,49.04,152.9659729,-27.22714043,5.05,-2.16,-12.8
1:04:57,43.93,152.9658661,-27.22719193,-4.15,10.52,-15.38
1:04:58,32.72,152.9657898,-27.22719193,-5.35,11.24,-8.37
1:04:59,46.84,152.965683,-27.22711563,-0.38,-10.95,-11.66
1:05:00,47.17,152.9656067,-27.22702408,3.84,-7.93,-13.23
1:05:01,43.63,152.9655151,-27.22694778,-11.99,6.92,-11.95
1:05:02,33.02,152.9654694,-27.22688866,0.08,-1.87,-9.23
1:05:03,27.87,152.9654388,-27.22683144,3.84,0.14,-4.65
1:05:05,14.35,152.9654999,-27.2267437,-0.38,4.47,-12.66
1:05:06,11.96,152.9654694,-27.22672272,-2.34,-3.75,-12.8
1:05:07,9.89,152.9654541,-27.22669983,6.86,4.32,-5.51
1:05:08,8.57,152.9654388,-27.22668839,2.64,4.18,-7.65
1:05:09,6.96,152.9654388,-27.22667122,-3.09,8.21,-7.51
1:05:10,11.06,152.9654541,-27.22664642,-2.49,-2.02,-14.38
1:05:11,18.83,152.9654694,-27.22661209,-3.09,-2.59,-11.95
1:05:12,18.32,152.9654999,-27.22659683,3.39,-1.3,-7.37
1:05:13,14.2,152.9655304,-27.22656822,0.53,-1.44,-9.66
1:05:14,8.46,152.9655457,-27.22654724,6.26,-4.32,-4.94
1:05:15,1.46,152.9655457,-27.22654343,0.98,-1.73,-9.8
1:05:16,0.59,152.9655457,-27.22654343,0.23,-0.43,-10.09
1:05:17,0.5,152.9655457,-27.22653961,0.23,-0.29,-10.09
1:05:18,0.5,152.9655457,-27.22653961,0.23,-0.58,-9.94
1:05:19,0.09,152.9655609,-27.22653961,0.23,-0.29,-10.09
1:05:20,2.26,152.9655914,-27.2265377,0.08,-0.29,-10.09
1:05:21,2.22,152.9655914,-27.22654343,0.23,-0.29,-10.09
1:05:22,2.15,152.9655914,-27.22654343,0.23,-0.29,-10.09
1:05:23,1.96,152.9655914,-27.22654343,0.08,-0.29,-10.09
1:05:24,1.81,152.9655914,-27.22654533,0.23,-0.29,-10.09
1:05:25,1.72,152.9655914,-27.22654724,0.23,-0.29,-10.09
1:05:26,1.57,152.9656067,-27.22654724,0.23,-0.14,-10.09
1:05:27,1.56,152.9656067,-27.22654915,0.23,-0.29,-10.09
1:05:28,1.59,152.9656067,-27.22655106,0.23,-0.14,-9.94
1:05:29,1.5,152.9656067,-27.22655487,0.23,-0.29,-10.09
1:05:30,1.43,152.9656067,-27.22655678,0.08,-0.29,-10.09
1:05:31,1.24,152.9656067,-27.22655678,0.08,-0.29,-10.09
1:05:32,1.04,152.9655914,-27.22655678,0.08,-0.29,-10.09
1:05:33,0.93,152.9655914,-27.22655678,0.08,-0.29,-10.09
1:05:34,0.22,152.9655609,-27.22655106,0.23,-0.29,-10.09
1:05:35,0.15,152.9655609,-27.22655487,0.08,-0.29,-9.94
1:05:36,0.02,152.9655609,-27.22655678,0.08,-0.29,-10.09
1:05:37,0.04,152.9655609,-27.22655678,0.23,-0.29,-10.09
1:05:38,0.13,152.9655914,-27.22655678,0.23,-0.29,-10.09
1:05:39,0.11,152.9655914,-27.22655487,0.23,-0.29,-10.09
1:05:40,0.17,152.9655914,-27.22655678,0.08,-0.29,-10.09
1:05:41,0.28,152.9655914,-27.22655678,0.08,-0.14,-10.09
1:05:42,0.24,152.9655914,-27.22655678,0.23,-0.29,-9.94
1:05:43,0.06,152.9655914,-27.22655678,0.23,-0.29,-10.09
1:05:44,0.04,152.9655914,-27.22655678,0.23,-0.14,-9.94
1:05:45,0.06,152.9655609,-27.22655678,0.23,-0.14,-9.08
1:05:46,0.02,152.9655609,-27.22655678,2.04,-4.61,-13.81
1:05:47,0.17,152.9655609,-27.22655678,-1.88,-0.58,-11.66
1:05:48,0.06,152.9655609,-27.22655487,-0.08,0.14,-12.38
1:05:49,2.35,152.9655609,-27.22654915,3.39,-0.86,-6.51
1:05:50,1.74,152.9655914,-27.22655106,0.83,0.14,-10.09
1:05:51,0.15,152.9655914,-27.22655106,-3.69,-6.49,-13.09
1:05:52,0.13,152.9655914,-27.22654915,-3.24,2.31,-10.66
1:05:53,9.54,152.9656067,-27.22653961,-7.61,-0.29,-14.66
1:05:54,19.82,152.9656525,-27.22652054,7.16,-2.74,-4.79
1:05:55,26.37,152.9657135,-27.22649193,-0.83,-2.59,-9.94
1:05:56,23.34,152.9657593,-27.2264595,5.96,2.59,-2.93
1:05:57,21.17,152.9658203,-27.22643661,-1.73,-4.76,-10.23
1:05:58,27.34,152.9658813,-27.22640419,-12.59,5.04,-16.38
1:05:59,33.17,152.9659729,-27.22636604,-2.64,11.24,-7.22
1:06:00,34.26,152.9660492,-27.22633934,-7.92,-2.16,-10.94
1:06:01,36.58,152.9661407,-27.22631264,-6.86,-3.17,-17.67
1:06:02,48.62,152.9662628,-27.22625732,0.38,-3.75,-10.94
1:06:03,50.56,152.9663849,-27.22618866,-1.43,-11.67,-14.81
1:06:04,43.86,152.9664459,-27.22609711,-1.13,-3.6,-9.08
1:06:05,46.15,152.9665527,-27.22603416,-9.57,-5.19,-6.37
1:06:06,56.71,152.9666901,-27.22596359,-0.98,2.02,-13.09
1:06:07,53.39,152.9668121,-27.22590256,5.96,-3.03,-11.8
1:06:08,48.41,152.9669647,-27.22588348,6.56,1.59,-10.09
1:06:09,37.32,152.9670563,-27.22591209,-7.01,-1.73,-8.8
1:06:10,42.39,152.9671478,-27.22598076,4.3,-3.6,-12.66
1:06:11,43.19,152.9672546,-27.22604179,-3.84,3.03,-10.66
1:06:12,55.23,152.9673309,-27.22613907,9.72,7.93,-10.09
1:06:13,50.12,152.967392,-27.22625542,9.72,12.97,-6.8
1:06:14,40.98,152.9673615,-27.22635269,-5.96,7.06,-1.5
1:06:15,47.02,152.9672852,-27.22642326,1.43,4.18,-7.37
1:06:16,49.93,152.9671326,-27.22646332,-2.19,-3.6,-10.23
1:06:17,39.97,152.9670258,-27.2264843,4.6,-1.3,-10.52
1:06:18,36.11,152.9669342,-27.22651291,3.69,0.29,-11.23
1:06:19,44.73,152.9668121,-27.2265377,-0.83,0.72,-11.09
1:06:20,55.04,152.9666901,-27.22658539,0.83,-7.06,-11.66
1:06:21,47.78,152.9665985,-27.22667122,-2.04,-11.82,-16.24
1:06:22,40.97,152.9665833,-27.22677231,0.53,13.11,-8.8
1:06:23,48.3,152.9665985,-27.22688675,8.67,11.1,-8.8
1:06:24,37.54,152.9665527,-27.2269783,-0.08,8.79,-10.09
1:06:25,41.95,152.9664459,-27.22700882,-4.6,-1.87,-11.52
1:06:26,54.15,152.9663086,-27.22699928,0.98,-6.49,-13.52
1:06:27,49.62,152.9661713,-27.22702789,0.98,-5.33,-8.23
1:06:28,44.63,152.9660797,-27.22710037,-4.15,-1.73,-7.65
1:06:29,47.65,152.9660034,-27.22719193,5.2,0.29,-10.23
1:06:30,38.24,152.9658966,-27.22723579,-1.28,12.25,-8.08
1:06:31,36.65,152.9658051,-27.22721481,2.64,4.9,-3.51
1:06:32,40.52,152.9657288,-27.22714424,-0.53,0.86,-14.24
1:06:33,38.76,152.9656982,-27.22705269,-9.88,-5.04,-13.52
1:06:34,40.8,152.9656219,-27.22698021,-5.96,1.59,-13.52
1:06:35,46.24,152.9655457,-27.22689247,-2.94,12.68,-7.22
1:06:36,45.86,152.9655304,-27.22678185,-7.01,12.39,-7.94
1:06:37,51.71,152.9655914,-27.2266674,-7.31,2.88,-10.09
1:06:38,63.21,152.965683,-27.22654724,-1.13,3.89,-4.22
1:06:39,65.89,152.9658203,-27.22644043,8.07,3.75,-13.23
1:06:40,54.69,152.9659576,-27.22636032,-0.98,9.94,-6.8
1:06:41,44.74,152.9660797,-27.22631645,-6.86,-10.95,-16.24
1:06:42,51.04,152.9662018,-27.22627068,0.08,-1.3,-12.52
